id,genre,track_name,artist_name,valence,energy
5vefQfYc9Oxn8VHfgUCi1q,british,Fake Tales Of San Francisco,Arctic Monkeys,0.704,0.778
7ouMYWpwJ422jRcDASZB7P,british,Knights of Cydonia,Muse,0.211,0.963
5fEql5cR2hjR6wPGUPiEEb,british,Na Na Na,One Direction,0.639,0.903
7Az9kfq4JLD8auD1xoErrP,british,Baba O'Riley - Original Album Version,The Who,0.143,0.691
2FexpP6SQ8IXGPVjyckmaf,cantopop,愛的根源,Alan Tam,0.208,0.261
16sJCPMyPg1FVKFGYQTDoy,cantopop,"L For Love, L For Lies",Stephy Tang,0.33,0.503
0tYpzqhwT83aJQ4cEmEO8F,cantopop,"如果你知我苦衷 - 電影""藍江傳之反飛組風雲""歌曲",Vivian Chow,0.144,0.575
5Sfj1jDJowEGs5MuA4NHjE,cantopop,情深緣淺,Christopher Wong,0.312,0.477
1ZOusIYPmggh5UrPJV835c,cantopop,一時無兩,Twins,0.946,0.646
1wczHBL2SkshBnEm7KastS,chicago-house,Face It,Various Artists,0.803,0.549
4zRw2xBPx0Y1n7oN6INFh7,chicago-house,Reflect,Pablo Bolivar,0.691,0.529
4AnRuRe6SPui2J59A9YaAA,chicago-house,20 Seconds to Comply - The Bomb Squad Mix,Silver Bullet,0.593,0.913
5KYt6CLbJDIx0NLoZUfHcG,chicago-house,Spring Love,Stevie B,0.836,0.679
1lB2kyB5h9ceZ388GBfC9L,chicago-house,Jam On It,Newcleus,0.346,0.782
3X7Mbi6AVMjyCpAUT1Xyp1,children,Goodbye Song,Yo Gabba Gabba,0.781,0.77
70b5Sq3ePOu3Gqg0hjlOtR,children,"For the First Time in Forever - From ""Frozen""/Soundtrack Version",Various Artists,0.43,0.411
7BjvaB3uKVoGTo7DX1RGkZ,children,This Land,Various Artists,0.172,0.271
6NPVjNh8Jhru9xOmyQigds,children,Happy,Various Artists,0.962,0.757
5yEPktRqvIhko5QFF3aBhQ,children,Mean,Taylor Swift,0.789,0.761
4E0lSJ6c5unoku9UIZoJSl,chill,Dust in the Wind,Kansas,0.419,0.251
2ZQyksYO4zzhyHNcueL0CP,chill,Home,Phillip Phillips,0.293,0.792
7vcuTZAFyu0Z5dgMRLR0h0,chill,Such Great Heights,Iron & Wine,0.552,0.275
2lwwrWVKdf3LR9lbbhnr6R,chill,Float On,Modest Mouse,0.553,0.888
68kd5lJWU2NBDCUPYbu1mL,classical,"Sinfonia Domestica, Op. 53, TrV 209: 5. Finale. Sehr lebhaft",Richard Strauss,0.0791,0.276
1TiQvHbi4WjMY5XgQFac4D,classical,"Violin Sonata in F Minor, Op. 5: I. Allegro appassionato",Ignatz Waghalter,0.0743,0.0685
2jjVsWQEUeZ06qSqF8xiBr,classical,"Tchaikovsky: Swan Lake (Ballet), Op. 20, Act 2: No. 10, Scène (Moderato)",Pyotr Ilyich Tchaikovsky,0.0692,0.167
6nywzGnK18ZkKoQ5DY7aD5,classical,"Suite No. 1, Op. 13: III. Nocturne",Jules Massenet,0.0353,0.0296
6gKtGkDTPjVMsWt02bGCHn,classical,"Mozart: Piano Concerto No. 23 in A Major, K. 488: I. Allegro",Wolfgang Amadeus Mozart,0.16,0.0782
16SsiQFVS2ZyxqqF5OB7m8,club,Lovers on the Sun (feat. Sam Martin),David Guetta,0.568,0.891
7m3povhdMDLZwuEKak0l0n,club,Wasted,Tiësto,0.386,0.816
1GC1MIaRMW3kfVK9VyD5Ii,club,Tous les mêmes,Stromae,0.647,0.637
5R7zhvUbJTob9WEJnsXPCZ,club,Come On To Me,Major Lazer,0.36,0.913
2bf2YIN0GBbYqR6A9SaSXQ,club,Changed The Way You Kiss Me,Example,0.284,0.842
71Na8M1MC7nOI98gd10V1F,comedy,Women,Bob Odenkirk,0.503,0.346
34cKD8rcpQjX6zSjnOeDz7,comedy,Cab Drivers - Live (1998 Broadhurst Theatre),Jerry Seinfeld,0.206,0.948
55Bldp88gOkg2ei45dlMhG,comedy,Sandwiches,Mitch Hedberg,0.145,0.938
6tIfLRqGeg2MuXLuSICmg6,comedy,Telemarketers,Pete Holmes,0.289,0.965
3ESxGLMBnrktn7ean4jEn0,comedy,TWO,Daniel Tosh,0.173,0.981
3E4zA2CVysuiMWurr4W9zE,country,Po-Dunk,Kid Rock,0.526,0.816
5522Ut7YYZSv2TjLMLIpEU,country,Peter Pan,Kelsea Ballerini,0.527,0.6
4zvaFze8JDdi7h2Zlp8jhZ,country,Third Rate Romance,Sammy Kershaw,0.961,0.758
2wxfu24GQpEZQrjDJm5Ac1,country,Every Little Thing,Carly Pearce,0.32,0.428
7J9ARWRkMtXMYeF8RxJEjn,country,Don't Close Your Eyes,Keith Whitley,0.285,0.228
3nfKrEAnfGGqXiUGA3fkd7,dance,Real,Gorgon City,0.436,0.698
3JPcICirkAw4TLp9UzEcfl,dance,Flat Beat,Mr. Oizo,0.455,0.42
4bAmAVdks2Y84VNVVLXFwN,dance,Show Me Love - EDX Remix / Radio Edit,Sam Feldt,0.677,0.665
7lfiw21G0E3Fqqjs6s44xj,dance,Hold Your Hand,JAHKOY,0.348,0.776
57kR5SniQIbsbVoIjjOUDa,dance,You Know You Like It,DJ Snake,0.247,0.725
3Iclavl4484QX9NbQaBMYK,dancehall,She can't wait,Demarco,0.88,0.771
4RdUpI3iTwqzCQe9ttKB5Q,dancehall,Other Side of Love,Sean Paul,0.261,0.793
3YlkOxWW57K0OpL7ZVVGqj,dancehall,Beautiful Onyinye,P-Square,0.896,0.793
53a8WmHKKrxhDiBRGqDlgV,dancehall,That Day Will Come,Capleton,0.916,0.837
4Kty4Y6S4DskNQkTJSI7JJ,dancehall,Luv Me Girl,Mavado,0.333,0.71
4t1OtTkHPrHfJyDC0fApCQ,death-metal,Opening of the Mouth,Nile,0.0368,0.958
7tvZiDC7DiOPfvBnQo2frT,death-metal,Individual Thought Patterns,Death,0.228,0.988
1iQ4OziamcH0eX64c7MmNY,death-metal,Blood Eagle,Amon Amarth,0.268,0.974
6VqU0I8OvuB7jq4T4xEJez,death-metal,Descend Into Depravity,Dying Fetus,0.43,0.873
1weevptDArxQeafoYavv6v,death-metal,The Jesters Dance,In Flames,0.429,0.937
1xqjLdtB558KjSo7zvOXua,deep-house,Stay,Henry Krinkle,0.0763,0.494
5daYzFYr63Mk4sz7c92PAK,deep-house,You - Steffi Remix,Bicep,0.48,0.817
7peWLxjpGsbYjYP3OtKaXj,deep-house,Everything You Never Had (We Had It All) [feat. Andreya Triana],Breach,0.747,0.869
